champion,games,wins,avg_kills,avg_deaths,avg_assists,avg_gold,avg_damage,winrate
Taric,1,1,3.0,8.0,21.0,12388.0,6039.0,100.0
Warwick,4,4,10.5,13.5,17.25,14030.25,29182.25,100.0
Skarner,5,5,11.6,8.6,34.0,13927.2,34832.4,100.0
Vi,10,9,9.8,12.4,19.2,12660.9,26536.9,90.0
Zeri,10,9,14.0,9.4,20.0,15359.4,36781.5,90.0
Leona,6,5,2.3333333333333335,12.5,36.166666666666664,12468.0,20671.166666666668,83.33
Trundle,12,10,7.333333333333333,8.916666666666666,29.833333333333332,12685.5,22259.416666666668,83.33
Galio,15,12,4.6,8.533333333333333,28.333333333333332,11273.266666666666,18239.0,80.0
Rell,8,6,7.0,8.375,26.25,10689.25,16526.375,75.0
Belveth,4,3,11.0,10.5,18.0,13017.25,23056.25,75.0
Talon,8,6,14.25,12.0,20.25,14295.875,38954.375,75.0
MonkeyKing,11,8,10.0,10.090909090909092,23.636363636363637,13101.90909090909,27050.81818181818,72.73
Milio,14,10,2.357142857142857,5.785714285714286,37.357142857142854,11839.07142857143,11619.142857142857,71.43
MasterYi,7,5,10.571428571428571,12.285714285714286,17.428571428571427,12298.857142857143,25101.285714285714,71.43
Sona,7,5,4.428571428571429,8.142857142857142,42.857142857142854,12085.142857142857,16786.571428571428,71.43
Karthus,17,12,14.117647058823529,17.41176470588235,34.1764705882353,15780.117647058823,50997.294117647056,70.59
Sion,10,7,9.3,13.2,26.7,13176.2,30943.4,70.0
Tryndamere,13,9,11.0,11.23076923076923,20.76923076923077,14076.615384615385,25684.0,69.23
Mel,29,20,13.655172413793103,8.793103448275861,23.517241379310345,14310.896551724138,31002.44827586207,68.97
Vladimir,16,11,11.0625,9.625,23.125,14046.9375,33012.0625,68.75
KogMaw,15,10,13.466666666666667,10.6,28.4,15747.0,42109.8,66.67
Nidalee,36,24,12.11111111111111,7.305555555555555,27.11111111111111,14054.777777777777,35034.22222222222,66.67
RekSai,3,2,7.333333333333333,10.333333333333334,28.666666666666668,12067.666666666666,24954.666666666668,66.67
Yorick,3,2,11.666666666666666,8.666666666666666,24.0,13625.666666666666,38483.666666666664,66.67
Xerath,30,20,11.033333333333333,7.433333333333334,29.0,13352.4,33766.86666666667,66.67
Neeko,24,16,8.583333333333334,10.583333333333334,24.125,12349.958333333334,27263.708333333332,66.67
DrMundo,9,6,6.888888888888889,9.222222222222221,21.444444444444443,11244.666666666666,27402.444444444445,66.67
Camille,12,8,11.333333333333334,11.833333333333334,20.333333333333332,12890.25,25352.0,66.67
Fizz,9,6,13.222222222222221,12.666666666666666,18.11111111111111,13586.111111111111,27830.0,66.67
TahmKench,11,7,8.181818181818182,9.454545454545455,22.90909090909091,12226.181818181818,25458.81818181818,63.64
Mordekaiser,11,7,11.363636363636363,12.0,20.272727272727273,13312.636363636364,29110.363636363636,63.64
Pantheon,19,12,11.0,11.105263157894736,21.473684210526315,13152.21052631579,28546.0,63.16
Rumble,19,12,10.0,8.578947368421053,20.842105263157894,12074.736842105263,28449.21052631579,63.16
Kayn,8,5,7.875,12.5,20.0,12813.25,21068.625,62.5
Kassadin,8,5,13.0,13.875,21.625,14183.125,34489.375,62.5
Sivir,24,15,11.25,9.916666666666666,29.25,14190.333333333334,32581.166666666668,62.5
Irelia,16,10,11.6875,13.5625,18.5625,13506.6875,30808.1875,62.5
Elise,13,8,11.76923076923077,9.615384615384615,22.307692307692307,14240.0,32998.46153846154,61.54
Yuumi,13,8,3.3076923076923075,3.3076923076923075,32.30769230769231,9951.384615384615,15808.76923076923,61.54
Poppy,18,11,5.444444444444445,10.0,21.0,10965.611111111111,19076.777777777777,61.11
Maokai,23,14,4.739130434782608,10.347826086956522,31.217391304347824,12162.782608695652,23944.217391304348,60.87
Viktor,23,14,9.956521739130435,8.608695652173912,24.391304347826086,13680.173913043478,33991.565217391304,60.87
Yasuo,28,17,10.428571428571429,12.321428571428571,18.857142857142858,13989.42857142857,26682.60714285714,60.71
Lulu,28,17,2.6785714285714284,5.607142857142857,35.857142857142854,11157.464285714286,7565.107142857143,60.71
Renekton,10,6,10.5,9.2,20.4,12806.5,24549.2,60.0
Jinx,50,30,12.28,10.66,22.44,14865.48,31170.24,60.0
Hecarim,5,3,12.6,14.4,23.6,14511.6,33006.0,60.0
Draven,10,6,12.4,8.0,17.2,14382.8,25092.3,60.0
Renata,15,9,2.8666666666666667,7.666666666666667,31.866666666666667,10732.066666666668,11313.2,60.0
Zoe,17,10,12.588235294117647,8.352941176470589,22.764705882352942,13013.117647058823,33137.41176470588,58.82
Shaco,29,17,12.931034482758621,10.172413793103448,24.862068965517242,14596.344827586207,33305.137931034486,58.62
Braum,12,7,3.4166666666666665,9.25,35.166666666666664,11588.666666666666,15198.333333333334,58.33
Shen,19,11,6.0,10.157894736842104,26.31578947368421,11854.473684210527,19298.105263157893,57.89
Aphelios,19,11,12.0,9.0,16.63157894736842,13499.526315789473,26030.315789473683,57.89
Corki,19,11,14.263157894736842,9.894736842105264,20.473684210526315,15125.684210526315,31898.894736842107,57.89
Caitlyn,33,19,11.757575757575758,9.848484848484848,21.90909090909091,14176.242424242424,31262.21212121212,57.58
Heimerdinger,7,4,8.714285714285714,7.285714285714286,20.571428571428573,11377.285714285714,26997.714285714286,57.14
Samira,21,12,15.333333333333334,12.238095238095237,18.761904761904763,15118.714285714286,33914.09523809524,57.14
Volibear,7,4,5.285714285714286,7.142857142857143,16.428571428571427,10810.285714285714,19372.571428571428,57.14
Rammus,7,4,5.285714285714286,11.285714285714286,30.714285714285715,11749.57142857143,19107.14285714286,57.14
Rakan,7,4,2.5714285714285716,9.142857142857142,32.285714285714285,10314.714285714286,10191.857142857143,57.14
Blitzcrank,35,20,5.3428571428571425,9.428571428571429,26.82857142857143,11776.6,18420.657142857144,57.14
Ahri,30,17,9.8,10.433333333333334,24.966666666666665,13313.166666666666,29192.7,56.67
Urgot,9,5,8.0,9.444444444444445,15.222222222222221,11019.555555555555,19683.555555555555,55.56
Cassiopeia,9,5,7.111111111111111,9.777777777777779,26.11111111111111,12027.0,27320.666666666668,55.56
Varus,36,20,11.583333333333334,8.416666666666666,23.5,13620.75,31907.333333333332,55.56
Thresh,27,15,5.851851851851852,9.851851851851851,29.74074074074074,11615.074074074075,17642.48148148148,55.56
Fiora,9,5,12.777777777777779,11.88888888888889,20.88888888888889,14811.333333333334,28449.0,55.56
Morgana,20,11,7.65,7.9,29.45,12492.8,25383.25,55.0
Ekko,11,6,13.545454545454545,12.727272727272727,23.09090909090909,14645.90909090909,34385.09090909091,54.55
AurelionSol,22,12,12.045454545454545,10.272727272727273,27.772727272727273,14196.09090909091,31071.363636363636,54.55
Nami,11,6,2.8181818181818183,7.636363636363637,40.81818181818182,11822.09090909091,13141.0,54.55
Vex,11,6,9.090909090909092,9.545454545454545,23.0,12742.90909090909,29179.363636363636,54.55
XinZhao,11,6,7.545454545454546,11.363636363636363,20.818181818181817,11394.272727272728,21958.18181818182,54.55
Tristana,24,13,13.833333333333334,10.875,20.083333333333332,15053.041666666666,37029.125,54.17
Nautilus,23,12,4.434782608695652,10.565217391304348,28.869565217391305,11184.08695652174,17316.695652173912,52.17
Alistar,27,14,3.740740740740741,11.62962962962963,34.333333333333336,12305.888888888889,15720.25925925926,51.85
Sylas,27,14,10.814814814814815,11.555555555555555,21.074074074074073,12149.148148148148,25242.037037037036,51.85
Pyke,27,14,15.25925925925926,9.962962962962964,18.074074074074073,13906.74074074074,24196.74074074074,51.85
Senna,35,18,8.17142857142857,7.285714285714286,33.77142857142857,13202.771428571428,26604.571428571428,51.43
Kaisa,37,19,13.18918918918919,8.18918918918919,19.08108108108108,14399.081081081082,33790.24324324324,51.35
Jayce,37,19,12.81081081081081,8.945945945945946,22.91891891891892,13647.945945945947,33788.02702702703,51.35
Jhin,51,26,13.96078431372549,8.196078431372548,21.941176470588236,14605.725490196079,30228.156862745098,50.98
Lux,32,16,8.09375,6.625,27.96875,12666.9375,22721.4375,50.0
Lillia,10,5,9.7,11.3,23.8,12876.3,30734.3,50.0
Kennen,22,11,9.409090909090908,11.409090909090908,22.954545454545453,12803.181818181818,30060.5,50.0
Xayah,14,7,11.0,8.785714285714286,20.0,13800.857142857143,29567.571428571428,50.0
Swain,18,9,7.166666666666667,9.777777777777779,26.72222222222222,12289.166666666666,25395.88888888889,50.0
Nilah,4,2,16.5,12.0,16.25,15463.0,29028.75,50.0
Kalista,4,2,8.0,10.0,19.75,12046.75,23097.0,50.0
Nasus,6,3,10.333333333333334,11.666666666666666,22.166666666666668,13888.166666666666,25301.5,50.0
Akshan,14,7,15.571428571428571,9.928571428571429,19.285714285714285,15832.57142857143,34420.0,50.0
Darius,6,3,10.666666666666666,11.333333333333334,16.833333333333332,12734.666666666666,29834.333333333332,50.0
Diana,14,7,10.928571428571429,13.785714285714286,24.071428571428573,14165.142857142857,32970.5,50.0
Briar,6,3,9.833333333333334,12.166666666666666,25.166666666666668,13118.333333333334,25814.666666666668,50.0
Gangplank,18,9,13.666666666666666,10.333333333333334,20.27777777777778,14560.555555555555,35231.166666666664,50.0
Gragas,20,10,7.3,9.15,27.45,12804.15,26953.85,50.0
Ashe,39,19,8.820512820512821,9.076923076923077,24.743589743589745,12768.461538461539,27801.358974358973,48.72
Zed,39,19,15.512820512820513,10.282051282051283,15.538461538461538,13149.076923076924,31397.897435897437,48.72
Velkoz,25,12,7.84,8.44,23.12,13089.28,29404.96,48.0
Syndra,23,11,10.130434782608695,8.304347826086957,20.217391304347824,12201.173913043478,28482.82608695652,47.83
Ambessa,21,10,10.380952380952381,10.619047619047619,17.428571428571427,13077.142857142857,27325.571428571428,47.62
Vayne,17,8,11.941176470588236,9.176470588235293,17.058823529411764,13361.882352941177,28032.647058823528,47.06
Lissandra,17,8,8.294117647058824,9.882352941176471,22.294117647058822,11139.176470588236,22553.058823529413,47.06
Malzahar,15,7,7.266666666666667,8.266666666666667,21.466666666666665,12607.666666666666,22785.866666666665,46.67
Aurora,28,13,12.392857142857142,10.678571428571429,22.071428571428573,13474.107142857143,37675.67857142857,46.43
Rengar,11,5,11.909090909090908,16.181818181818183,19.454545454545453,13982.454545454546,31165.454545454544,45.45
Riven,9,4,13.11111111111111,9.666666666666666,18.11111111111111,13969.222222222223,30516.88888888889,44.44
Katarina,9,4,10.88888888888889,10.666666666666666,17.77777777777778,13352.333333333334,27247.88888888889,44.44
Orianna,25,11,8.72,7.04,26.4,12195.0,23858.96,44.0
Amumu,16,7,5.6875,12.3125,25.875,11732.75,18250.5,43.75
Yone,37,16,10.702702702702704,12.216216216216216,18.675675675675677,13288.378378378378,29359.702702702703,43.24
Nunu,14,6,7.5,11.571428571428571,29.071428571428573,12066.5,22115.071428571428,42.86
Nocturne,7,3,16.857142857142858,13.285714285714286,19.857142857142858,15187.142857142857,37498.71428571428,42.86
Kayle,14,6,8.571428571428571,8.214285714285714,19.714285714285715,13402.5,28233.5,42.86
Sett,14,6,7.142857142857143,11.714285714285714,23.785714285714285,12450.214285714286,26282.0,42.86
Teemo,21,9,6.809523809523809,8.428571428571429,18.476190476190474,12031.619047619048,24594.95238095238,42.86
Veigar,21,9,8.476190476190476,8.428571428571429,20.285714285714285,12227.619047619048,22571.47619047619,42.86
JarvanIV,21,9,8.761904761904763,11.095238095238095,30.80952380952381,12805.809523809523,23496.04761904762,42.86
Soraka,14,6,2.357142857142857,5.142857142857143,29.857142857142858,9944.42857142857,5772.214285714285,42.86
Qiyana,7,3,13.571428571428571,11.285714285714286,13.285714285714286,13162.0,31289.714285714286,42.86
MissFortune,40,17,11.275,9.125,20.75,13562.3,27897.55,42.5
Taliyah,19,8,8.578947368421053,10.473684210526315,25.789473684210527,13244.421052631578,31273.052631578947,42.11
TwistedFate,31,13,8.580645161290322,9.67741935483871,24.64516129032258,13150.322580645161,28559.25806451613,41.94
Viego,24,10,13.708333333333334,10.875,15.875,13808.791666666666,28515.083333333332,41.67
Brand,24,10,9.833333333333334,10.75,24.958333333333332,14493.25,36756.958333333336,41.67
Aatrox,24,10,9.916666666666666,9.958333333333334,19.541666666666668,12893.75,28013.416666666668,41.67
Akali,17,7,14.411764705882353,11.0,17.058823529411764,13008.176470588236,29259.70588235294,41.18
Khazix,22,9,13.863636363636363,10.681818181818182,14.454545454545455,13405.818181818182,31979.863636363636,40.91
Ivern,10,4,3.8,5.5,35.1,11700.7,11467.6,40.0
Zyra,10,4,5.5,8.4,24.9,11606.6,25237.9,40.0
Smolder,30,12,10.866666666666667,9.666666666666666,26.0,14687.733333333334,33426.63333333333,40.0
Gwen,10,4,10.7,11.2,14.8,12428.1,25481.9,40.0
Annie,25,10,7.32,10.2,23.12,11229.4,23255.44,40.0
Bard,10,4,8.7,8.2,31.5,12748.1,21400.6,40.0
Naafiri,5,2,11.6,11.4,14.4,12693.6,27237.6,40.0
Ornn,10,4,4.7,9.8,24.5,12078.8,19772.6,40.0
Azir,23,9,9.695652173913043,13.652173913043478,21.26086956521739,14110.695652173914,30100.0,39.13
Graves,18,7,19.22222222222222,12.833333333333334,16.833333333333332,16621.722222222223,33298.22222222222,38.89
Chogath,18,7,8.444444444444445,10.11111111111111,21.61111111111111,11416.166666666666,22269.222222222223,38.89
Seraphine,18,7,6.388888888888889,10.055555555555555,37.55555555555556,12728.444444444445,23894.277777777777,38.89
Kindred,13,5,7.769230769230769,8.23076923076923,16.46153846153846,11826.615384615385,19461.615384615383,38.46
Twitch,16,6,12.8125,10.625,21.875,14500.5625,34955.1875,37.5
Sejuani,8,3,6.25,10.875,27.625,12047.75,26217.5,37.5
LeeSin,35,13,11.914285714285715,10.685714285714285,21.285714285714285,12940.285714285714,27537.14285714286,37.14
Janna,22,8,2.227272727272727,6.818181818181818,36.27272727272727,11540.772727272728,9971.0,36.36
Anivia,14,5,7.285714285714286,7.714285714285714,22.142857142857142,12791.642857142857,19973.64285714286,35.71
FiddleSticks,14,5,11.857142857142858,12.0,23.0,13552.92857142857,34402.357142857145,35.71
Garen,14,5,11.714285714285714,9.642857142857142,18.214285714285715,12959.92857142857,28452.0,35.71
Leblanc,34,12,12.764705882352942,9.676470588235293,18.08823529411765,12171.617647058823,27870.617647058825,35.29
KSante,20,7,7.7,11.1,22.7,12253.45,23247.65,35.0
Malphite,38,13,9.078947368421053,11.657894736842104,22.736842105263158,12392.28947368421,25595.763157894737,34.21
Ryze,24,8,10.708333333333334,11.291666666666666,23.708333333333332,14458.291666666666,35050.666666666664,33.33
Udyr,6,2,8.166666666666666,13.0,25.333333333333332,13077.666666666666,35487.333333333336,33.33
Singed,12,4,8.666666666666666,15.583333333333334,30.166666666666668,14166.166666666666,30272.916666666668,33.33
Kled,3,1,8.333333333333334,10.666666666666666,21.333333333333332,11226.0,27444.333333333332,33.33
Olaf,3,1,13.333333333333334,13.0,22.0,14134.666666666666,30706.0,33.33
Ezreal,61,20,10.704918032786885,8.967213114754099,22.57377049180328,13902.032786885246,36362.91803278688,32.79
Lucian,31,10,14.225806451612904,11.129032258064516,18.516129032258064,15036.064516129032,32811.54838709677,32.26
Yunara,25,8,9.2,10.76,19.24,13018.0,28915.44,32.0
Hwei,19,6,10.210526315789474,8.894736842105264,26.210526315789473,13905.315789473685,29789.0,31.58
Zac,13,4,5.6923076923076925,12.307692307692308,27.153846153846153,12357.153846153846,24651.46153846154,30.77
Ziggs,20,6,8.75,9.35,28.4,14216.35,32734.05,30.0
Karma,30,9,6.066666666666666,8.2,26.7,11685.633333333333,18430.3,30.0
Zilean,21,6,4.809523809523809,7.095238095238095,31.333333333333332,12252.761904761905,17237.904761904763,28.57
Illaoi,4,1,5.5,10.75,13.25,10847.0,17082.25,25.0
Gnar,9,2,8.11111111111111,11.555555555555555,20.22222222222222,12635.888888888889,29700.666666666668,22.22
Jax,14,3,10.142857142857142,11.571428571428571,17.285714285714285,12113.57142857143,24248.0,21.43
Evelynn,4,0,16.0,10.5,15.5,13368.25,32763.75,0.0
Quinn,5,0,7.8,11.2,16.4,12924.6,20305.0,0.0
Shyvana,2,0,8.0,11.0,14.0,12780.5,21606.0,0.0
